name,lyrics
360,"I went my own way and I made it
I'm your favorite reference, baby
Call me Gabbriette, you're so inspired
Ah, ah
I'm tectonic, moves, I make 'em
Shock you like defibrillators
No style? I can't relate
I'll always be the one, ah
Drop down, yeah
Put the camera flash on
So stylish
Baby tee is all gone
Drop down, yeah
Lookin' like an icon
Work angles, yeah
Yeah, 360
When you're in the mirror, do you like what you see?
When you're in the mirror, you're just looking at me
I'm everywhere, I'm so Julia
Ah-ah, ah
When you're in the party b-b-bumpin' that beat
666 with a princess streak
I'm everywhere, I'm so Julia
Ah-ah, ah
Bumpin' that
Bumpin' that
Bumpin' that
That city sewer slut's the vibe
Internationally recognized
I set the tone, it's my design
And it's stuck in your mind
Legacy is undebated
You gon' jump if A. G. made it
If you love it, if you hate it
I don't fucking care what you think
Drop down, yeah
Put the camera flash on
So stylish
Baby tee is all gone
Drop down, yeah
Lookin' like an icon
Work angles, yeah
Yeah, 360
When you're in the mirror, do you like what you see?
When you're in the mirror, you're just looking at me
I'm everywhere, I'm so Julia
Ah-ah, ah
When you're in the party b-b-bumpin' that beat
666 with a princess streak
I'm everywhere, I'm so Julia
Ah-ah, ah
Bumpin' that
Bumpin' that
Bumpin' that
Ah-ah, ah
Bumpin' that
Bumpin' that
Bumpin' that
Ah-ah, ah"
Club classics,"Right now, right now, right now, right now
Right now, right now, it's, it's like, it's like
When I go to the club, I wanna hear those club classics
Club classics, club, club classics
When I go to the club, I wanna hear those club classics
Club classics, club, club classics
When I go to the club, I wanna hear those club
classics
Club classics, club, club classics
Yeah, I wanna dance to me
I wanna dance to A. G.
I wanna dance with George
I wanna dance to SOPHIE
I wanna dance to HudMo
Play the track fast, not slow
Pull it back twice, let's go
Sweat marks all on my clothes
Tight like Mike kinda flow
Yeah, I wanna be blinded by the lights, lights, lights
(Right now, right now, right now, right now)
(Right now, right now, right now, right now)
(Right now, right now, right now, right now)
(Right now, right now, right now, right now)
Put your hands up and dance
Yeah, I'm gonna dance all night, that's right
All night
Never gonna stop till the morning light
Put your hands up and dance
Yeah, I'm gonna dance all night, that's right
All night
Never gonna stop, never gonna stop, oh
Yeah, I wanna dance to me, me, me, me, me
When I go to the club, club, club, club, club

Yeah, I wanna dance to me, me, me, me, me
When I go to the club, club, club, club, club
Yeah, I wanna dance to me, me, me, me, me
(Put your hands up and, I'm gonna)
When I go to the club, club, club, club, club (Like)
Yeah, I wanna dance to me, me, me, me, me
(Put your hands up and, I'm gonna)
When I go to the club, club, club, club, club (Like)
Put your hands up and dance
Yeah, I'm gonna dance all night, that's right
All night
Never gonna stop till the morning light
Put your hands up and dance
Yeah, I'm gonna dance all night, that's right
All night
Never gonna stop, never gonna stop, oh
(Yeah)
(I, yeah, like, like, it's like, it's like, it's like)
(It's like, it's like, it's like)
I wanna dance to me
When I go to the club (Like, like, it's like, it's like, it's like)
I wanna dance to me
When I go to the club (It's like, it's like, it's like)
(I, yeah)
(I, yeah, like, like, it's like, it's like, it's like)
When I go to the club (It's like, it's like, it's like)"
Sympathy is a knife,"I don't wanna share the space
I don't wanna force a smile
This one girl taps my insecurities
Don't know if it's real or if I'm spiraling
One voice tells me that they laugh
George says I'm just paranoid
Says he just don't see it, he's so naive
I'm embarassed to have it, but need the sympathy
'Cause I couldn't even be her if I tried
I'm opposite, I'm on the other side
I feel all these feelings I can't control
Oh no, don't know why
All this sympathy is just a knife
Why I can't even grit my teeth and lie?
I feel all these feelings I can't control
Oh no, don't know
Why I wanna buy a gun?
Why I wanna shoot myself?
Volatilе at war with my dialogue
I'd say that there was a God if thеy could stop this
Wild voice tearing me apart
I'm so apprehensive now
Don't wanna see her backstage at my boyfriend's show
Fingers crossed behind my back
I hope they break up quick
'Cause I couldn't even be her if I tried
I'm opposite, I'm on the other side
I feel all these feelings I can't control
Oh no, don't know why
All this sympathy is just a knife
Why I can't even grit my teeth and lie?
I feel all these feelings I can't control (Oh no)
All this sympathy is just a knife
All this sympathy is just a knife
All this sympathy is just a knife
Yeah, all this sympathy is just a knife
Oh no, oh no
Why is all this sympathy a fucking knife?
Yeah, all this sympathy is just a knife
Couldn't even be her if I tried
Oh no, oh no"
I might say something stupid,"I might say something stupid
Talk to myself in the mirror
Wear these clothes as disguise
Just to re-enter the party
Door is open, let in but still outside
I look perfect for the background
I get nervous, sip the wine
I go so cold, I go so cold
'Cause I don't know if I belong here anymore, I
I don't feel like nothing special
I snag my tights out on the lawn chair
Guess I'm a mess and play the role
Used to live just for the party
Door is open, I'm famous but not quite
But I'm perfect for the background
Onе foot in a normal life
I go so cold, I go so cold
And I don't know if I belong herе anymore, I"
Talk talk,"I've been lookin' at you
Puttin' holes in your head
We've been talking for months
But never in the same room
And now I wanna approach ya
But we've been keeping this a secret
And you're surrounded by friends
And I'm just wondering what they know
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
I think you're getting closer
'Cause I've been getting nervous
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
Talk to me, talk to me
Are you thinking 'bout me?
I'm kind of thinking you are
I followed you to the bathroom
But then I felt crazy
I'm feeling like I'm on fire
'Cause we've been keeping this a sеcret
And all your friends are still thеre
And I'm just wondering what they know
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
I think you're getting closer
'Cause I've been getting nervous
I wish you'd talk, talk
Wish you'd talk, talk
Wish you'd talk, talk
Wish you'd just talk to me
Talk to me, talk to—
Wish you'd just talk to me, talk to me, talk to—
Wish you'd just talk to me, talk to me, talk to—
Wish you'd just talk to me, talk to me, talk to—
Wish you'd just talk to me, talk to me, talk to—
Talk to me in French
Talk to me in Spanish
Talk to me in your own made-up language
Doesn't matter if I understand it
Talk right in my ear
Tell me your secrets and fears
Once you talk to me, I'll talk to you
And say, ""Hey, let us get out of here
Shall we go back to my place?"""
Von dutch,"It's okay to just admit that you're jealous of me
Yeah, I heard you talk about me, that's the word on the street
You're obsessing, just confess it, put your hands up
It's obvious I'm your number one
It's alright to just admit that I'm the fantasy
You're obsessing, just confess it 'cause it's obvious
I'm your number one, I'm your number one
I'm your number one, yeah
I'm just living that life
Von Dutch, cult classic, but I still pop
I get money, you get mad because the bank's shut
Yeah, I know your little secret, put your hands up
It's so obvious I'm your number one, life
Von Dutch, cult classic in your eardrums
Why you lying? You won't fuck unless he famous
Do that littlе dance, without it, you'd be namelеss
It's so obvious I'm your number one
I'm your number one, I'm your number one
I'm your number one, yeah, it's so obvious
I'm your number one, I'm your number one
I'm your number one, yeah, it's so obvious
It's okay to just admit that you're jealous of me
You're obsessing, just confess it 'cause it's obvious
I'm your number one, I'm your number one
I'm your number one, I'm your number one
I'm your number one, your number one
Your number one, your number one
I'm just living that life
Von Dutch, cult classic, but I still pop
I get money, you get mad because the bank's shut (Bank's shut)
Yeah, I know your little secret, put your hands up
It's so obvious, I'm your number one, life
Von Dutch, cult classic in your eardrums
Why you lying? You won't fuck unless he famous (He's famous)
Do that little dance, without it, you'd be nameless
It's so obvious, I'm your number one
I'm your number one
Your number one, your number one
Your number one, your number one
Your number one, your number one
Your number one, your number one, yeah
I'm just living that life
Von Dutch, cult classic, but I still pop
I get money, you get mad because the bank's shut
Yeah, I know your little secret, put your hands up
It's so obvious I'm your number one
I'm the one, your number one
Your number one, your number one"
Everything is romantic,"Bad tattoos on leather-tanned skin
Jesus Christ on a plastic sign
Fall in love again and again
Winding roads, doing manual drive
Bad tattoos on leather-tanned skin
Jesus Christ on a plastic sign, mm
Early nights in white sheets with lace curtains
Capri in the distance
Bad tattoos on leather-tanned skin
Jesus Christ on a plastic sign
Fall in love again and again
Winding roads, doing manual drive
Bad tattoos on leather-tanned skin
Jesus Christ on a plastic sign
Fall in love again and again
Winding roads, doing manual drive
Early nights in white sheets with lace curtains
Capri in the distance
In a place that can make you change
Fall in love again and again
Early nights in white sheets with lace curtains
Capri in the distance
In a place that can make you change
Fall in lo-o-o-o-o-o—
Everything is
Romantic, uh
Evеrything is
Romantic, uh
Everything is
Romantic (Uh)
Everything is
Romantic, uh
Lemons on thе trees and on the ground
Sandals on the stirrups of the scooters
Neon orange drinks on the beach
Four generations make up for family
Lemons on the trees and on the ground
Sandals on the stirrups of the scooters
Neon orange drinks on the beach
Four generations make up for family
Early nights in white sheets with lace curtains
Pompeii in the distance
In a place that can make you change
Fall in love again and again
Early nights in white sheets with lace curtains
Pompeii in the distance
In a place that can make you change
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again (Woo)
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
Fall in love again and again (Everything is)
Fall in love again and again
Fall in love again and again (Uh)
Fall in love again and again
 (Uh)
(Everything is, uh)"
Rewind,"Sometimes, I just wanna rewind
Sometimes (Sometimes, sometimes), I just wanna rewind
I'd go back in time to when I wasn't insecure
To when I didn't overanalyse my face shape
Nowadays, I only eat at the good restaurants
But, honestly, I'm always thinking 'bout my weight
I used to never feel embarrassed (Feel embarrassed)
When I call up the paparazzi
Everyone else does it constantly
I hate these doubts that keep running through my mind
Sometimes I really think it would be cool to rewind
Sometimes, I just wanna rewind
Sometimes (Sometimes, sometimes), I just wanna rewind
Used to burn CDs full of songs I didn't know
Used to sit in my bedroom, putting polish on my toes
Recently, I've been thinking 'bout a way simpler time
Sometimes, I really think it would be cool to rewind
I used to never think about Billboard
But, now, I've started thinking again
Wondering 'bout whether I think I deserve commercial success
It's running through my mind
Sometimes, I really think it would be cool to rewind
You might also like
Sometimes, I just wanna rewind
Sometimes (Sometimes, sometimes), I just wanna rewind
Sometimes, —times
Ooh, mm
Sometimes, I just wanna rewind
Wanna turn back time to a different time, oh
Sometimes
I just wanna rewind, I just wanna rewind
I just wanna rewind
Press rewind, yeah
Yeah, press rewind, yeah
Bring the beat back
Press rewind, yeah
Yeah, press rewind"
So I,"Always on my mind (Every day, every night)
Your star burns so bright
(Why did I push you away?)
I was scared sometimes
You had a power like a lightning strike
When I'm on stage sometimes I lie
Say that I like singing these songs you left behind
And I know you always said, ""It's okay to cry""
So I know I can cry, I can cry, so I cry
Wish I'd tried to pull you closer
You pushed me hard, made me focus
Your words, brutal, loving, truthful
I was petrified
You're a hero and a human
Track was done, I'd make excuses
You'd say, ""Come on, stay for dinner""
I'd say, ""No, I'm fine"" (Now I really wish I'd stayed)
Always on my mind (Every day, every night)
Your star burns so bright (Why did I push you away?)
I was scared sometimes
You had a power like a lightning strike
When I'm on stage, sometimes I lie
Say that I like singing these songs you left behind
And I know you always said, ""It's okay to cry""
So I know I can cry, I can cry, so I cry
Guilty feelings keep me fractured
Got a phone call after Christmas
Didn't know how I should act
I watched you dance online
Your sounds, your words live on, endless
When I make songs, I remember
Things you'd suggest, ""Make it faster""
Would you like this one? (Maybe just a little bit?
Always on my mind (Every day, every night)
Your star burns so bright (Why did I push you away?)
I was scared sometimes
You had a power like a lightning strike
When I'm on stage, sometimes I lie
Say that I like singing these songs you left behind
And I know you always said, ""It's okay to cry""
So I know I can cry, I can cry, so I cry
I, I, I, I
I, I, I, I
On my mind"
"Girl, so confusing","Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl
Man, I don't know, I'm just a girl
Girl, girl, girl, girl
Yeah, I don't know if you like me
Sometimes I think you might hate me
Sometimes I think I might hate you
Maybe you just wanna be me
You always say, ""Let's go out""
So we go eat at a restaurant
Sometimes it feels a bit awkward
'Cause we don't have much in common
People say we're alike
They say we've got the same hair
We talk about making music
But I don't know if it's honest
Can't tell if you wanna see me
Falling over and failing
And you can't tell what you're feeling
I think I know how you feel
Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl
Man, I don't know, I'm just a girl
Girl, girl, girl, girl
You're all about writing poems
But I'm about throwing parties
Think you should come to my party
And put your hands up
I think we're totally different
But opposites do attract
Maybe we're so meant to be
Just you and me
'Cause people say we're alike
They say we've got the same hair
One day we might make some music
The internet would go crazy
But you might still wanna see me
Falling over and failing
At least we're closer to being
On the same page
Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, it's so confusing sometimes to be a girl
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl, girl, girl
Girl, how do you feel being a girl?
Girl, girl
Man, I don't know, I'm just a girl
Girl, girl, girl, girl
Girl, girl, girl, girl"
